record_id,year,issue,printed_page,page_span,primary_heading,persons_places,content_summary,evidence_status,source_drive_id,source_sha256,source_bytes,pdf_pages,transcription_guard
BL19-1908-02-P01-03,1908,2,1,1-3,Кончина бр. В. Л. Кузьмина в гор. Новгороде,Василий Лаврентьевич Кузьмин; Новгород; П. Л. К.,"Obituary reports Kuzmin's final illness and death on 10 January, burial on 13 January, his testimony and earlier decision to move from St Petersburg to Novgorod for evangelical work; readers are asked to provide a portrait.",PRIMARY_FULL_VISUAL_CHECK,1dKR5oX3Bee5vk9oIcaJAu04v-0QOGhy0,cc5eaa28ba8f9b63e4b09ed124a29310973a78499bc8d87ee7d699644d5bb9c7,6465971,14,Initials and exact last words require citation from the image; summary modernizes orthography.
BL19-1908-02-P03-07,1908,2,3,3-7,О новогодней неделе молитвы,Оренбург; Харьков; Самара; Ново-Ивановка; Хутор Херсонской губернии; Волынская губерния,"A cluster of letters reports the 6-19 January 1908 prayer period: daily and evening meetings, conversions, reconciliations, prayer for Christian unity, children and youth participation, hymns and local mission activity.",PRIMARY_FULL_VISUAL_CHECK,1dKR5oX3Bee5vk9oIcaJAu04v-0QOGhy0,cc5eaa28ba8f9b63e4b09ed124a29310973a78499bc8d87ee7d699644d5bb9c7,6465971,14,Individual correspondent spellings are not normalized in the summary.
BL19-1908-02-P07-11,1908,2,7,7-11,Поездка бр. Я. Я. Винса с целью благовестия,Я. Я. Винс; Сызрань; Самара; Казань; Волга; латышские братья,"Vins describes an August journey with a choir of 16 singers plus accompanying brother and sister. The group preached and sang on Volga steamers, met Latvian believers near Syzran, held village and prayer-house meetings, conversed with passengers and sailors, and proposed organized travelling evangelistic teams during the Nizhny Novgorod fair plus reduced steamship fares.",PRIMARY_FULL_VISUAL_CHECK,1dKR5oX3Bee5vk9oIcaJAu04v-0QOGhy0,cc5eaa28ba8f9b63e4b09ed124a29310973a78499bc8d87ee7d699644d5bb9c7,6465971,14,The article is descriptive mission testimony; quote only after checking exact old-orthography wording.
BL19-1908-02-P11-12,1908,2,11,11-12,Иван Петрович Кушнеров,И. П. Кушнеров; Киев; Правительствующий Сенат; Министерство внутренних дел; Кавказ; Ставропольская губерния,"Editorial profile presents Kushnerov as a legal defender of persecuted evangelicals since 1894 and details current petitions: rural verdicts expelling believers, recognition of Caucasian Baptists as a harmful sect, legalization of Kyiv, Pekarsko-Dashensk and Georgievsk communities, and removal of the label 'sectarian' from the Kyiv community.",PRIMARY_FULL_VISUAL_CHECK,1dKR5oX3Bee5vk9oIcaJAu04v-0QOGhy0,cc5eaa28ba8f9b63e4b09ed124a29310973a78499bc8d87ee7d699644d5bb9c7,6465971,14,Community/locality names need diplomatic spelling from the page before authority merging.
BL19-1908-02-P12,1908,2,12,12,Нужды и пожертвования,Амурская область; Херсонский уезд; Харбин; Ставропольская губерния; Я. Я. Винс,Donation ledger records 109 rubles for the hungry and states that the amount was sent by post to Y. Y. Vins in Samara for distribution; separate small donations to an orphanage are also listed.,PRIMARY_PAGE_VISUAL_CHECK,1dKR5oX3Bee5vk9oIcaJAu04v-0QOGhy0,cc5eaa28ba8f9b63e4b09ed124a29310973a78499bc8d87ee7d699644d5bb9c7,6465971,14,"Donor names and amounts should be quoted from the scan, not retyped from memory."
BL19-1908-02-P13-14,1908,2,13,13-14,Плод наших трудов,И. С. Проханов (editorial context); Christian youth,"Reflection distinguishes wages for work from the lasting fruit of work and urges young Christians to choose activity by service, reward and fruit, presenting evangelical labor as renewal of people and society.",PRIMARY_FULL_VISUAL_CHECK,1dKR5oX3Bee5vk9oIcaJAu04v-0QOGhy0,cc5eaa28ba8f9b63e4b09ed124a29310973a78499bc8d87ee7d699644d5bb9c7,6465971,14,Authorship is not stated in the visible heading; do not attribute without further evidence.
BL19-1909-02-P04-05,1909,2,4,4-5,Вечеря Христианской Любви в СПбургской Общине Евангельских Христиан 7-го февраля 1909 г.,С. А. Алексеев; И. С. Проханов; Фонарный переулок; Санкт-Петербург,"Primary report confirms the first such love feast in the St Petersburg community on 7 February 1909. It describes the opening by presbyter S. A. Alekseev, Psalm 124, prayer, Prokhanov's report on community activity and prayer week, literary work, women's missionary-handicraft meetings, youth circles and a proposal to bring one new guest weekly. The preceding community report records civil rights, property capacity and regular metric records.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1-q6h6YmQcx21m9IQqlHjj57Q6D2Q2CU9,6e6eee2d15e8c1c68e90bd031c8dce403873630bb280f920ca77ab58ebfcf510,5676105,12,The article continues across the page break; exact liturgical sequence should be cited from the images.
BL19-1909-07-P04-07,1909,7,4,4-7,О вечере Христианской любви в СПБ. Общине Еван. Христ.,И. С. Проханов; брат Саймонс; Санкт-Петербург; Фонарный переулок,"The issue presents the gathering as the first St Petersburg meeting intended to unite representatives of all evangelical communities. A love feast planned for 7 May 1909 was dispersed over police formalities and reconvened on 9 May. Prokhanov led the meeting; Methodist preacher brother Simons, translated by Prokhanov, preached from Psalm 91:13 on the righteous as a palm, Christian unity, endurance and fruit.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1FB2zoAaN_ILFlc2mFLlL2N70SJYeunDW,1fbc119781a19e74d7b94a8672968e270fcc1017cd2f76a55fed4d0c94819bef,7941966,16,Do not confuse the Methodist preacher's palm sermon with the following Baptist missionary report from India.
BL19-1909-09-P01-03,1909,9,1,1-3,Годовщина обновленного строя Общины / Об образовательной школе,И. С. Проханов; С. А. Алексеев; Владимир Владимирович Хлопов; Санкт-Петербург,"Annual report for 15 August 1908-15 August 1909 lists thirteen results: three new halls, membership growth, literature, intercommunity relations, three young workers sent abroad, congress preparation, the first educational school, women's missionary-handicraft work, youth circles, a central reading/lecture space, visiting brothers and love feasts, material gifts and legal civil records. The following notice documents official permission for a coeducational school, four district branches, ages 7-15 and invitations to German, Russian-Latvian, Estonian and Swedish-Finnish communities.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1PjG2wTvuvFjg0zcGjuv0i4Q9fZwzEUPZ,0afdfe2560fee37dbd4fe3a4485516500dece305417247341aa41f1f2fe40cfc,5371026,12,Addresses and invited-community spellings should be taken from the scan for publication.
BL19-1909-09-P03-04,1909,9,3,3-4,Всероссийский Съезд Евангельских Христиан,Санкт-Петербург; Министерство внутренних дел; Фонтанка 94; Фонарный переулок 4-9; Мойка 38; Народный дом Нобеля,"Primary program resolves the chronology: ministerial permission covered 14-26 September 1909; the business congress ran 14-19 September and the spiritual congress 21-26 September. Business agenda included an address to the Emperor, proposed Union charter and confession, organizational questions and greetings. Spiritual meetings had daily themes of prayer, self-knowledge, Scripture in Christian life, faith, church awakening and Christ's return, with invitations to Evangelical Christians, Russian/German/Latvian Baptists, Methodists, Estonian and Swedish-Finnish communities.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1PjG2wTvuvFjg0zcGjuv0i4Q9fZwzEUPZ,0afdfe2560fee37dbd4fe3a4485516500dece305417247341aa41f1f2fe40cfc,5371026,12,"This resolves schedule phases, not delegate counts. Secondary dates should be reconciled against this primary program."
