record_id,year,issue,printed_page,page_span,primary_heading,persons_places,content_summary,evidence_status,source_drive_id,source_sha256,source_bytes,pdf_pages,transcription_guard
BL21-1910-11-P01-04,1910,11,1-4,1-4,Обращение к желающим трудиться на ниве Божией,И. С. П. (печатные инициалы); больничное служение; Поля; Санкт-Петербург,"Развернутый призыв к систематическому служению больным на основании Мф. 25:35-36. Рассказ о молодой пациентке Поле используется как пример духовной помощи в больнице; предлагаются посещения, чтение Евангелия, молитва и обмен краткими отчетами о таком труде.",PRIMARY_FULL_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,"Автор указан только инициалами И. С. П.; не раскрывать их без второго источника. История Поли является редакционным свидетельством, не медицинской записью."
BL21-1910-11-P05,1910,11,5,5,Вечер Любви в Москве на собрании русских баптистов 7-го Ноября,Москва; В. Рундальцева; брат Хомяк; пресвитер Яковлев; русские баптисты и евангельские христиане,"Описание переполненного московского вечера любви 7 ноября 1910 года: общая молитва, чай и трапеза, детское стихотворение, молодежные выступления, хор и квартеты. Автор подчеркивает совместное пение русских баптистов и евангельских христиан и сильное впечатление вечера на молодежь.",PRIMARY_PAGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Фамилии участников передавать по скану; подпись читается как В. Рундальцева. Не приравнивать термин «вечер любви» к причастию без контекста.
BL21-1910-11-P05-09,1910,11,5-9,5-9,Письмо от сестры Ренберг из Китая,А. М. Ренберг; Чангсань-Постоянные Горы; Китай; сестра Смирнова; миссионер Томсон,"Письмо от 1/14 октября 1910 года описывает женскую миссионерскую работу, школьное служение, четыре станции и местные общины. Автор вспоминает Боксерское восстание и гибель верующих, возвращение миссионеров после 1900 года и сообщает о росте китайской церкви, включая около 110 членов в четырех местах и около 207 крещений с 1900 года по ее счету.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Числа и ранняя история являются данными письма А. М. Ренберг; не превращать их в внешне подтвержденную статистику. Китайские топонимы сохранять в печатной форме до авторитетной идентификации.
BL21-1910-11-P09,1910,11,9,9,Письма о примирении с Бакинской общиной,Ф. Цымбал; Ф. Е. Цымбал; Иван Степанович; Бакинская община,"Две краткие документальные записи фиксируют примирение с Бакинской общиной: благодарность Ивану Степановичу за совет и сообщение, что община письмом от 31 октября и свидетельством от 4 ноября 1910 года №189 признала автора членом общины и допустила к общению всех церквей Христовых.",PRIMARY_PAGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Инициалы и фамилия Цымбал читать непосредственно по скану; не объединять двух подписантов без отдельной person-authority проверки.
BL21-1910-11-P10,1910,11,10,10,Без отдельного заглавия: о молитве духом и умом,пресвитер Ф. Балихин; евангельские христиане; баптисты,"Полемическая заметка на 1 Кор. 14 различает молитву «духом» и «умом» и выступает против беспорядочной одновременной вокализации, непонятной собранию. Автор настаивает на понятной молитве, назидании и церковном порядке.",PRIMARY_PAGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Заглавие аналитическое: на странице отдельный заголовок не напечатан. Фамилия передана по подписи; цитаты брать только со скана.
BL21-1910-11-P11-12,1910,11,11-12,11-12,К верующим читателям,Н. Оксотский; Астраханка Таврической губернии; В. А. Жак; немецкий журнал «Библейское чтение»; издательство «Радуга»,"История русского ежемесячника «Ежедневное Библейское Чтение»: решение педагогического совета евангельской учительской семинарии в конце 1907 года, перевод и редакционная работа, первый выпуск в 1908 году, пауза в 1909-м и возобновление с 1 января 1910 года. Перечислены разобранные книги Библии и готовившиеся годовые выпуски 1908, 1910 и 1911 годов.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Иностранные фамилии и точное немецкое название требуют отдельной библиографической сверки; не нормализовать их по догадке.
BL21-1910-11-P12-CONGRESS,1910,11,12,12,Нововерие. 2-й Всероссийский Съезд Евангельских христиан в СПбурге,И. С. Проханов; В. И. Долгополов; Санкт-Петербург; Фонтанка 94; Фонарный переулок 4,"Первое опубликованное разрешение на II Всероссийский съезд: 27 декабря 1910 — 1 января 1911. Программа включает устав Союза, вероучение, догматические и организационные вопросы, Библейский институт, правовое положение, предложения общин и отношения с родственными исповеданиями. Указаны нормы представительства, жилье и адрес регистрации.",PRIMARY_PAGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Эти даты были официально исправлены в декабрьском №12 на 28 декабря — 4 января; ноябрьское объявление не использовать как финальный календарь.
BL21-1910-11-P12-DONATIONS,1910,11,12,12,Объявление о направлении пожертвований,Григорий Матвеевич Матвеев; Союз евангельских христиан; Малая Белозерская улица 9,"Редакция просит из-за чрезмерной корреспонденции не направлять союзные пожертвования издательству «Радуга» или редакции «Христианина», а высылать их непосредственно союзному казначею Григорию Матвеевичу Матвееву.",PRIMARY_PAGE_VISUAL_CHECK,1rw0-M_8836k3bLuH4Zxqqv4uE8ME9FTP,4f61f13d34bc5c85eea4d2433d89652cbfc808c626bdc503224925f6a2fd8f3c,5889600,12,Адрес исторический и не является современным контактным данным.
BL21-1910-12-P01-02,1910,12,1-2,1-2,К концу года,Х. Розе; Рождество; Новый год,"Новогодне-рождественское размышление о переходе от старого к новому, образе Симеона с младенцем Христом и призыве оставить прошлое и принять обновление во Христе.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1Tav9_IVWSJ2jqpw3xAJhK5TzDvoWU1l9,4a00b37b5518e8c1d447e00c0efdc4daff4462f3d51c19fb460af239829870ba,7761658,16,Подпись передана как Х. Розе; не связывать с конкретной персоной без отдельной проверки.
BL21-1910-12-P02-04,1910,12,2-4,2-4,Что значит раб / Святой / О старшинстве / О любви / Чистота проповеди,А. А. Р. (беседы); В. А. Забунайский,"Серия кратких наставлений толкует христианское служение как добровольное рабство Богу, святость как отделение для служения, равенство пресвитера и епископа, любовь и братство, отношение к мученической смерти и нравственную чистоту проповедника.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1Tav9_IVWSJ2jqpw3xAJhK5TzDvoWU1l9,4a00b37b5518e8c1d447e00c0efdc4daff4462f3d51c19fb460af239829870ba,7761658,16,Составной блок имеет несколько подзаголовков; подписи относятся к печатной композиции и не должны автоматически распределяться по каждому разделу.
