record_id,year,issue,printed_page,page_span,primary_heading,persons_places,content_summary,evidence_status,source_drive_id,source_sha256,source_bytes,pdf_pages,transcription_guard
BL23-1907-11-P01-03,1907,11,1-3,PDF 1-3,В чем заключается успех в наших воскресных школах,Г. Причард; перевод В. М. Максимовской; воскресные школы,"Пять условий успешной воскресной школы: зависимость от Божьего благословения; обращённые и любящие детей учителя; порядок; братские отношения между учителями; деятельная поддержка общины, родителей и учебными пособиями.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1IzNB92hopSd_l0nJrYQ75NVgp6T2PynJ,255ecccbac553ceb6e8b22595eaa6791130d033c7ed5685f67e0a5793248d624,3401575,7,Автор и переводчик переданы по заголовку. PDF является обрезанным фрагментом: не называть семь страниц полным объёмом выпуска.
BL23-1907-11-P03-04-BONDARENKO,1907,11,3-4,PDF 3-4,Братские письма. От Андрея М. Бондаренко из Екатеринослава,Андрей М. Бондаренко; Севастополь; Закаспийский край; Екатеринослав; Мариуполь; Николаев,"Автобиографическое письмо описывает обращение через чтение Ин. 12:46-48, арест во время военной службы, этапирование через четыре пересыльные тюрьмы, освобождение и начало собраний в Екатеринославе; упомянуты молитвенный дом и приезжие проповедники.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1IzNB92hopSd_l0nJrYQ75NVgp6T2PynJ,255ecccbac553ceb6e8b22595eaa6791130d033c7ed5685f67e0a5793248d624,3401575,7,Инициалы приезжих служителей не раскрывать без person-authority проверки; письмо является авторским свидетельством.
BL23-1907-11-P04-06-TSARITSYN,1907,11,4-6,PDF 4-6,От брата Т. Р. из Царицына: молодёжное собрание и полицейское задержание,Царицын; завод Уральско-Волжского общества; Н. Я. Новиков; С. П. Степанов; Саратовский губернатор,"28 октября на металлургическом заводе проведено молодёжное евангельское собрание: около 30 юношей и девушек, позднее до 50 слушателей. После попытки полиции прекратить собрание 12 молодых участников были доставлены в участок, допрошены и спустя 5–10 часов отпущены; пресвитер С. П. Степанов телеграфировал губернатору.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1IzNB92hopSd_l0nJrYQ75NVgp6T2PynJ,255ecccbac553ceb6e8b22595eaa6791130d033c7ed5685f67e0a5793248d624,3401575,7,Подпись и инициалы трёх молодых выступавших читаются неравномерно; в narrative использовать только надёжно читаемые формы.
BL23-1907-11-P07-INTERNATIONAL,1907,11,7,PDF 7,Краткие сообщения о международных работниках,брат Гейер; Астраханка Таврической губернии; проповедник Свенсон из Финляндии; госпожа Пальми; шведский кружок,"Сообщается о возвращении Гейера со съезда евангельских христиан-пресвитериан в Астраханке и об участии на съезде проповедника Свенсона из Финляндии и госпожи Пальми, связанной с кружком верующих шведов, желавших трудиться в России.",PRIMARY_PAGE_VISUAL_CHECK,1IzNB92hopSd_l0nJrYQ75NVgp6T2PynJ,255ecccbac553ceb6e8b22595eaa6791130d033c7ed5685f67e0a5793248d624,3401575,7,Иностранные фамилии сохранять в печатной русской форме до сверки с внешними каталогами.
BL23-1907-11-P07-LIVCHENKO,1907,11,7,PDF 7,"От брата Ливченко, Херсонская губерния",Оситняжка; Болидаевка; Лодовадка; Александрийский уезд; Херсонская губерния,"Письмо сообщает об обращении и крещении 24 человек летом 1907 года и о последовательных запретах на молитвенные собрания со стороны земского начальника и сельских старост. 14 сентября чиновник тайно зачитал приказ, разрешавший оставить верующих в покое и не препятствовать богомолению.",PRIMARY_PAGE_VISUAL_CHECK,1IzNB92hopSd_l0nJrYQ75NVgp6T2PynJ,255ecccbac553ceb6e8b22595eaa6791130d033c7ed5685f67e0a5793248d624,3401575,7,Топонимы переданы по скану и требуют географической authority-сверки; число 24 является свидетельством автора письма.
BL23-1907-11-P07-KONDRASHEV-TRUNCATED,1907,11,7+,"PDF 7, продолжение отсутствует",От брата А. Л. Кондрашева: поездка хора в казачий посёлок,А. Л. Кондрашев; хутор Жадика; Самарская губерния; Ново-Вилин; Уральское казачье войско; Малаховка,"Начало письма описывает поездку хора из 11 человек на 60 вёрст, три собрания и решение двух братьев и двух сестёр присоединиться к церкви через крещение. Скан заканчивается посреди слова и рассказа.",PRIMARY_FRAGMENT_VISUAL_CHECK_TRUNCATED,1IzNB92hopSd_l0nJrYQ75NVgp6T2PynJ,255ecccbac553ceb6e8b22595eaa6791130d033c7ed5685f67e0a5793248d624,3401575,7,Не цитировать как законченный материал. Оригинал имел как минимум одну следующую страницу; точный полный объём пока неизвестен.
BL23-1907-12-P01-EDITORIAL,1907,12,1,PDF 1,Заметки редактора издателя,И. С. Проханов; журнал Христианин; Братский листок,Редакция объявляет правила на 1908 год: «Братский листок» будет печататься крупным шрифтом и высылаться только заявившим подписчикам «Христианина» за дополнительную плату 30 копеек; отдельно от журнала приложение не высылается. Обещаны иллюстрации в каждом номере «Христианина» и подведён итог двух лет издания.,PRIMARY_PAGE_VISUAL_CHECK,1RGuAsiZ0qXBvBxMVaKLkxTe87P0k8dsx,750b92b27612fac2025b9af2ab94f5c2ea50c19bf199f2c02779d4ea75bac2db,7523727,17,17 PDF-страниц не равны 17 печатным: PDF 11 и 12 — точный дубль печатной с.11; уникальная пагинация выпуска 1–16.
BL23-1907-12-P02-03-COURSES,1907,12,2-3,PDF 2-3,Петербургские собрания и программа Евангельских курсов,"Морская улица, дом 43; проповедники Гребб и Lewis; И. В. Каргель; В. Х. Оффенберг; И. С. Проханов; Т. Ф. Страндберг; барон П. Н. Николаи",Сообщены собрание 5 декабря и приезд двух английских проповедников. Напечатана недельная программа курсов: грех и освящение; изучение Библии; евангельское движение за границей; Святой Дух; притчи; проповедь; Бог; Евангелие от Иоанна; святая жизнь.,PRIMARY_FULL_VISUAL_CHECK,1RGuAsiZ0qXBvBxMVaKLkxTe87P0k8dsx,750b92b27612fac2025b9af2ab94f5c2ea50c19bf199f2c02779d4ea75bac2db,7523727,17,"Иностранные фамилии Grebb/Lewis и форма Оффенберг требуют authority-сверки; таблица контролирует точные дни, часы и преподавателей."
BL23-1907-12-P04-05-FREEDOM,1907,12,4-5,PDF 4-5,Всемирная религиозная свобода,Международный съезд Всемирного Евангелического союза; Лондон; барон П. Н. Николаи; И. С. Проханов; З. Д. Захаров; Государственная дума,"Перепечатана лондонская резолюция о равной религиозной свободе для протестантов в непротестантских странах, подписанная от Русского евангельского союза Николаем и Прохановым. Редакция связывает её с избранием молоканина З. Д. Захарова в Думу и его выступлениями о крестьянской нужде.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1RGuAsiZ0qXBvBxMVaKLkxTe87P0k8dsx,750b92b27612fac2025b9af2ab94f5c2ea50c19bf199f2c02779d4ea75bac2db,7523727,17,Политические характеристики отражают редакционную позицию 1907 года; не превращать их в нейтральную биографическую оценку.
BL23-1907-12-P05-08-ODINTSOV,1907,12,5-8,PDF 5-8,Письмо Н. В. Одинцова из Балашова и новогоднее обращение,Н. В. Одинцов; Петропавловск; Омск; Самара; Г. И. Мазаев; А. М. Зуйков; Я. Я. Винс,"Одинцов подводит итоги двухмесячной поездки в Сибирь: открытие молитвенного дома в Омске 14 октября, два публичных собрания в пожарном депо 4 ноября, реакция шумной аудитории, полиции и православного священника; затем описывает духовное движение и нехватку помещения в Самаре. На с.7–8 переходит к новогоднему призыву жить не для себя.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1RGuAsiZ0qXBvBxMVaKLkxTe87P0k8dsx,750b92b27612fac2025b9af2ab94f5c2ea50c19bf199f2c02779d4ea75bac2db,7523727,17,Числа аудитории и реакции присутствующих являются авторским отчётом; точные границы письма и обращения контролируются подписью на с.8.
