record_id,year,issue,printed_page,page_span,primary_heading,persons_places,content_summary,evidence_status,source_drive_id,source_sha256,source_bytes,pdf_pages,transcription_guard
BL22-1908-10-P01-03,1908,10 substitute,1-3,PDF 1-3,Русский Евангельский Союз / Главная нужда России / Задачи русского Евангельского Союза,И. С. Проханов; Россия; Санкт-Петербург,"Перепечатана программная записка, разосланная Прохановым в августе 1906 года. Она связывает религиозное обновление России с межконфессиональным евангельским объединением и формулирует шесть задач: духовное пробуждение, устная и печатная миссия, образование, молитвенные собрания и съезды, защита гонимых и привлечение живых сил русского населения.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,Подпись И. С. П. раскрывается как Проханов по вводной фразе и последующей истории проекта; прямые цитаты сверять со сканом.
BL22-1908-10-P04,1908,10 substitute,4,PDF 4,Основы русского Евангельского Союза,Русский Евангельский Союз,"Девять общих вероучительных оснований: богодухновенность Писания, свобода его понимания, Троица, грехопадение, воплощение и искупление, единый Посредник, личная вера и возрождение, священство всех верующих, воскресение и суд. Во всех остальных вопросах веры и церковного устройства членам предоставляется свобода.",PRIMARY_PAGE_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,Не заменять формулировки позднейшими исповеданиями; цитировать дореформенный текст страницы.
BL22-1908-10-P04-05-FUNDS,1908,10 substitute,4-5,PDF 4-5,Средства для поддержания деятельности русского Евангельского Союза,Санкт-Петербург; миссия; печать; просвещение; благотворительность,"Предложены годовые взносы и пять целевых фондов: евангельской миссии, печати, просвещения, благотворительности и помещений. Последний должен был поддержать центральный молитвенно-просветительный дом в Петербурге с залами для собраний и лекций.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,"Это программные намерения 1906 года, а не доказательство фактического открытия всех учреждений."
BL22-1908-10-P05-06-ORG,1908,10 substitute,5-6,PDF 5-6,Внешняя организация русского Евангельского Союза,В. Х. Оффенберг; И. С. Проханов; Санкт-Петербург,"Союз определяется как объединение отдельных верующих, а не как новая церковь или союз церквей; внутренние дела общин сохраняются за самими церквами. Для заведования фондами учреждён временный совет: В. Х. Оффенберг распоряжается пожертвованиями, Проханов временно исполняет обязанности секретаря.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,Фамилию Оффенберг/Оффенбергер не унифицировать без person-authority сверки: в разных местах печати формы различаются.
BL22-1908-10-P06-08,1908,10 substitute,6-8,PDF 6-8,Общий характер русского Евангельского Союза / Вопросы читателям,И. С. П.; Шотландия; Англия; Финляндия; Санкт-Петербург,"Программа сопоставляет проект с евангельскими союзами Запада, подчёркивает широкий общехристианский характер и завершает записку шестью вопросами читателям о практической форме единства. Записка подписана И. С. П. и датирована августом 1906 года.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,Упоминания западных союзов являются аргументацией автора; не переносить их характеристики как проверенные организационные данные.
BL22-1908-10-P08-10-CHRONOLOGY,1908,10 substitute,8-10,PDF 8-10,"Русский Евангельский Союз — история кружка, проекта и утверждения",И. В. Каргель; П. Н. барон Николаи; А. М. Максимовский; В. Х. Оффенберг; И. С. Проханов; Н. А. Гойер; Санкт-Петербург,"Вторая записка прослеживает путь от молитвенного кружка после рассылки 1906 года к временному совету и пяти фондам. Воззвание датировано 4–20 декабря 1906 года; проект устава выработан 6 июня 1907 года, представлен МВД и утверждён 16 мая 1908 года, после чего получен в июне 1908 года. Перечислены шесть участников составления извещения.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,"Первичная дата утверждения — 16 мая 1908 года. Вторичные формы 10/13 мая хранить как расхождения, но не заменять ими печатную копию устава."
BL22-1908-10-P11-15-CHARTER,1908,10 substitute,1-5 отдельной тетради устава,PDF 11-15,Устав Русского Евангельского Союза,товарищ министра сенатор Крыжановский; Министерство внутренних дел; Санкт-Петербург,"Напечатана копия утверждённого 16 мая 1908 года устава, §§1–36: цели и характер; приём и выбытие членов; средства; имущество; управление; совет; общие собрания; отделения; закрытие и ликвидация. Совет насчитывает 20 петербургских членов, общее собрание созывается ежегодно, отделения открываются с разрешения МВД.",PRIMARY_FULL_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,В PDF устав начинает собственную пагинацию. Для ссылок указывать одновременно PDF-страницу и печатную страницу отдельной тетради.
BL22-1908-10-P15-16-SIGNATORIES,1908,10 substitute,5-6 отдельной тетради устава,PDF 15-16,Подписанты проекта Устава — 27 лиц,И. С. Проханов; А. М. Максимовский; В. М. Максимовская; П. Н. барон Николаи; О. А. Масленникова; И. В. Каргель; И. И. Раков; Н. А. Ромашов; В. И. Долгополов; С. А. Алексеев; А. И. Проханова; Н. Н. фон-Крузе; А. Д. Петерсен; С. П. Остафьева; А. К. Ивкова; А. И. Пейкер; Ф. К. Пистолькорс; О. Д. Пистолькорс; Т. Ф. Страндберг; Е. К. Пистолькорс; Ф. А. Арндт; И. А. Ю. Нюман; И. С. Громов; Ф. А. барон Штакельберг; А. Г. Нейман; И. Ф. Гроте; Д. К. Оффенберг,"Две последние страницы дают полный социально разнородный список 27 подписантов проекта — инженеры, советники, военные семьи, купцы, миссионеры, крестьяне, мещане и иностранные подданные — вместе с историческими адресами.",PRIMARY_FULL_VISUAL_CHECK,1-WxjFqFJXiJwHsrkKbhGI-VJz_RM5iVC,0ee01385271aa83d5464465271319c1a27753fa609cab7a3cdc566974daac6fe,7467345,16,Часть фамилий и отчеств требует отдельной authority/palaeography сверки; адреса исторические и не являются современными контактами.
BL22-1909-10-P01-CONGRESS,1909,10,1,PDF 1,О 1-м Всероссийском Съезде Евангельских христиан в С.-Петербурге,"Санкт-Петербург; евангелисты; немецкие, латышские и русские баптисты; эстонская, финно-шведская и методистская общины",Первичный итог программы съезда: общий разрешённый период 14–26 сентября; деловой съезд 14–19 сентября при 22 представителях общин; духовный съезд 21–26 сентября с присутствием до 800 человек. Редакция обещает публиковать заседания и постановления в следующих номерах.,PRIMARY_PAGE_VISUAL_CHECK,1aKwZCZnSqHXtMXdrfte7PIBSLnmN6W43,19679a242c3872a970d0cf560850d8e9b20feb22684a4954bd33d76d0376d389,3619743,8,Числа 22 и до 800 относятся к разным частям съезда; не смешивать их с позднейшими подсчётами гостей/делегатов.
BL22-1909-10-P01-04-REHNBERG,1909,10,1-4,PDF 1-4,Братские письма. От с. Ренберг из Китая,Агнета Ренберг; Нанкин; Юшань; Джангуцзянь; мисс Сютес; мисс Сютер; Китай,"Письмо Агнеты Ренберг связывает русскую евангельскую печать с женской работой Китайской внутренней миссии. Описаны пробуждение в Нанкине, театр примерно на 1500 мест и собрания около 1000 человек, работа в Юшане и горной станции, обучение двух женщин 49 и 55 лет чтению, подготовка катехизисов, медицинская помощь, засуха, устройство двух девочек 8 и 10 лет в школу и уход за тринадцатилетним больным мальчиком.",PRIMARY_FULL_VISUAL_CHECK,1aKwZCZnSqHXtMXdrfte7PIBSLnmN6W43,19679a242c3872a970d0cf560850d8e9b20feb22684a4954bd33d76d0376d389,3619743,8,Топонимы и фамилии передавать по печати до отдельной синологической сверки. Числа являются авторским миссионерским свидетельством.
BL22-1909-10-P05-DONATIONS-REVIEWS,1909,10,5,PDF 5,Объявления: пожертвования и новые издания «Радуги»,Союз христианской молодёжи; Петербургская община; Ч. Сперджен; пастор Жак; товарищество «Радуга»,"Зафиксированы пожертвования по 10 рублей на миссию молодёжного союза и 25 рублей в пять кружек Петербургской общины. Напечатаны отзывы на книги «Тип и его светильник», «Благодатию вы спасены», а также сообщение о переходе изданий пастора Жака к товариществу «Радуга».",PRIMARY_PAGE_VISUAL_CHECK,1aKwZCZnSqHXtMXdrfte7PIBSLnmN6W43,19679a242c3872a970d0cf560850d8e9b20feb22684a4954bd33d76d0376d389,3619743,8,Сокращённые имена жертвователей не раскрывать; рекламные оценки книг не считать независимыми рецензиями.
BL22-1909-10-P06-08-PRINT,1909,10,6-8,PDF 6-8,"Издательский каталог, календари и журнал «Спасение»",Джон Буньян; И. А. Фрей; И. В. Каргель; Отто Функе; Генри Друммонд; И. С. Проханов; товарищество «Радуга»,"Рекламно-библиографический блок фиксирует наличие «Ежедневного чтения Библии» за 1908 год, новое издание Буньяна, книгу Фрея о Палестине, будущий календарь «Добрый Советник», цены русских/немецких/латышских календарей, книгу Каргеля и перечень новых брошюр. На с.8 объявлена подписка на еженедельный журнал «Спасение» с 1 ноября 1909 года и указано продолжение руководства по музыке и пению.",PRIMARY_FULL_VISUAL_CHECK,1aKwZCZnSqHXtMXdrfte7PIBSLnmN6W43,19679a242c3872a970d0cf560850d8e9b20feb22684a4954bd33d76d0376d389,3619743,8,"Это издательская реклама и цены на момент печати; библиографические названия сохранять в дореформенной форме, а не модернизировать молча."
